text,user,created_at,timestamp,geo
"Confirmed Everton Team vs Swansea: Howard, Galloway, Stones, Jagielka (c… http://t.co/Kbh5PrelG6 #efcfamily#efc",bluefeeds,2015-09-19 13:55:26,1442670926554,
"Swansea - Everton ⚽
#PremierLeague",NachoPabloo,2015-09-19 13:55:27,1442670927424,
"Swansea City Vs Everton

Live Stream : http://t.co/esCU7WUcE6

Ftblsk4 #GlobalSwans #SWAEVE #Epl #Swans #EFC #COYB #SWAvEFC",Mrymacarr,2015-09-19 13:55:28,1442670928082,
Swansea &amp; Everton would be a gr8 game to watch (-: 🙆,Galvin_Singh,2015-09-19 13:55:28,1442670928805,
Senior Validation Specialist - Swansea (Abertawe) - Scarlet Jade #SouthWalesJobs #JobsInSouthWales http://t.co/TsQETZtow2,SWEPJobs,2015-09-19 13:55:29,1442670929365,
Go Swansea - Everton,GuardiolaManu,2015-09-19 13:55:31,1442670931722,
Players in the tunnel. Browning making his first PL start for Everton v fit-again Montero. Going to be interesting  http://t.co/HzH6umORvf,ChrisWathan,2015-09-19 13:55:32,1442670932679,
"Swansea City Vs Everton

Match Preview : http://t.co/ksxWR5gSbB

Ftblsk4 #SWAEVE #SWAvEFC #Bpl #PremierLeague #Matchday #EFC #COYB",turkeinfo,2015-09-19 13:55:32,1442670932844,
The two teams have emerged from the tunnel. Kick-off is just moments away! #SWAEVE,SwansOfficial,2015-09-19 13:55:35,1442670935113,
LIVE: Swansea City - Everton http://t.co/LFIz43pQZ6,OjoraFuad,2015-09-19 13:55:35,1442670935391,
"The next three games,Leicester,swansea ,man u...max points 5",KipTimo,2015-09-19 13:55:36,1442670936439,
"@Everton @premierleague @tybrowning @seamiecoleman23 congrats Ty on the start, all the best mate. Recover well coleman #EFCrepresent",peterjerome84,2015-09-19 13:55:36,1442670936816,
Arsenal to lay hallowed turf at Emirates  http://t.co/pw03muViwH #arsenal #Chelsea #cfc #everton,DelvinTheWizard,2015-09-19 13:55:43,1442670943920,
Vamos Swansea. #swans :),OlafoHolach,2015-09-19 13:55:44,1442670944038,
"Se viene buen partido en el Liberty Stadium entre el @SwansOfficial y @Everton. Veremos Gomis, Ayew y Montero. Show must go on!!",ferru_5,2015-09-19 13:55:44,1442670944232,
"@Javaid_i8 is that why you lost to Everton, Crystal Palace and Man city?",afcsalehaa,2015-09-19 13:55:48,1442670948554,
"Swansea v Everton, Hull v QPR, Millwall v Southend #twitter3draws",gaztop1979,2015-09-19 13:55:49,1442670949436,
"Up next. #EPL
Bournemouth v Sunderland 15:00
Newcastle v Watford 15:00
Stoke v Leicester 15:00
Swansea v Everton 15:00
#FATGlive",Iamtitoluwa,2015-09-19 13:55:50,1442670950657,
@SuperA7mado school of science? @Everton,ibs92,2015-09-19 13:55:50,1442670950734,
"#PREMIERxFL #swaeve un partidazo nos espera! Dos equipos que han iniciado bien, ambos con 8 puntos. Everton viene de hacerle 3 al chelsea",FutbolElineas,2015-09-19 13:55:52,1442670952792,
Which game to watch Stoke x Leicester or Everton x Swansea,nickyb_zero3,2015-09-19 13:55:53,1442670953500,
"Swansea City Vs Everton

Live Stream : http://t.co/Rxy3AqM03g

Ftblsk4 #GlobalSwans #SWAEVE #Epl #Swans #EFC #COYB #SWAvEFC",nerminaskkk,2015-09-19 13:55:57,1442670957590,
"@RealJoeChapman @SalCornetta @alexlebl23 what's everyone watching next? Everton Swansea for me, but will have to look out for Foxes Stoke",MichaeIChapman,2015-09-19 13:55:58,1442670958103,
Swansea vs Everton promises a lot of goals,revtasie,2015-09-19 13:55:58,1442670958408,
Lol “@GlennMena: Since Community Shield &amp; that Everton defeat broff.  https://t.co/YXLIK6Ao5E”,lawgbat,2015-09-19 13:55:58,1442670958350,
Everton vs swansea and guide said stoke vs leicester. Lmaoo ahaha,milingpiling,2015-09-19 13:55:58,1442670958921,
"Swansea City Vs Everton

Live Stream : http://t.co/UAIBe2oBjQ

Ftblsk4 #GlobalSwans #SWAEVE #Epl #Swans #EFC #COYB #SWAvEFC",DeliKadin06,2015-09-19 13:56:00,1442670960361,
"Aston Villa - WBA @tv2sporten ?? PULIS OG SHERWOOD fremfor formlag som Everton-Swansea? Fy faen, denne dagen går til helvette. Snakkes. #2pl",Olsinho1,2015-09-19 13:56:01,1442670961499,
"Swansea v everton, nice game",Head_Honcho01,2015-09-19 13:56:01,1442670961500,
@Zoouummaaa @Rhiyuu @MrGeorgeBenson arsenal is higher on the table. and who lost to everton ooohh yea chelsea,TheTrueHunta,2015-09-19 13:56:02,1442670962153,
#Swansea #Dede....today 2 i go win another bet...,nanadime123,2015-09-19 13:56:06,1442670966290,
"Swansea City Vs Everton

Match Preview : http://t.co/BKMFQCHITX

Ftblsk4 #SWAEVE #SWAvEFC #Bpl #PremierLeague #Matchday #EFC #COYB",Canankara121,2015-09-19 13:56:08,1442670968175,
"XI #Swansea (vs #Everton): Fabianski, Naughton, Fernandez, Williams (C), Taylor, Cork, Shelvey, Ayew, Sigurdsson, Montero, Gomis. #EPL",ProyectoPremier,2015-09-19 13:56:08,1442670968215,
"@LYNNERLP La línea de tres cuartos en adelante del #Swansea #JeffersonMontero, Sigurdsson, Ayew y Gomis. Pffffff #BPL http://t.co/wufjDgFZKK",YOSOYABELUXO,2015-09-19 13:56:08,1442670968168,
"Swansea City A.F.C. SoccerStarz Ki

http://t.co/BCvOm0rmgp

Run by Fans for Fans! Please re-tweet http://t.co/qbVHD78DqA",Swansea_Stall,2015-09-19 13:56:08,1442670968766,
Cmon @Everton #coyb,NathanDrudi,2015-09-19 13:56:09,1442670969322,
"@__gower @J_WaglandPT @JackRelfe you're actually quite embarrassing gower buddy, didn't see you tweet once against Everton #keyboardwarrior",PluumSaafe,2015-09-19 13:56:09,1442670969449,
Any Everton streams for IOS? #Everton #Swansea,AllezAllezOoohh,2015-09-19 13:56:09,1442670969553,
Swansea vs Everton gonna be a great match .,_ahmadfathi_,2015-09-19 13:56:10,1442670970355,
@himaychristine Swansea? How'd that happen?,PersianPrepster,2015-09-19 13:56:10,1442670970490,
Swansea v Everton should be lit.,konyINsola_,2015-09-19 13:56:10,1442670970415,
Swansea...,rammy_more,2015-09-19 13:56:10,1442670970726,
